# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	255488
#@/user_id	1cfc3a97-9b12-4da7-829a-4855531e8276
a 	啊	c=1034 d=1.25136 t=255488
ban ji 	班級	c=1 d=2.71025e-25 t=255488
ban jia 	半價	c=3 d=0.0728029 t=255488
ban jia 	搬家	c=8 d=7.29441e-09 t=255488
ban jiao 	半角	c=4 d=2.12083e-131 t=255488
ban jin 	半斤	c=1 d=3.49788e-231 t=255488
ban jin ba liang 	半斤八兩	c=1 d=3.73685e-185 t=255488
ban kuai 	板塊	c=1 d=0.0335406 t=255488
ban lan gen 	板藍根	c=4 d=0.408608 t=255488
ban li 	班裏	c=1 d=5.86653e-197 t=255488
ban li 	辦理	c=29 d=0.0183156 t=255488
ban lv 	伴侶	c=1 d=2.90974e-36 t=255488
ban ma 	斑馬	c=8 d=4.73397e-56 t=255488
ban mian 	板麪	c=2 d=0 t=255488
ban nian 	半年	c=14 d=2.28857e-05 t=255488
ban shang qu 	搬上去	c=1 d=1.63933e-21 t=255488
ban shen 	半身	c=1 d=0.113608 t=255488
ban shen qun 	半身裙	c=1 d=0.11475 t=255488
ban shi 	版式	c=1 d=0 t=255488
ban shi 	辦事	c=1 d=2.33599e-11 t=255488
ban tian 	半天	c=9 d=0.278037 t=255488
ban wa gong 	搬瓦工	c=8 d=4.08291e-14 t=255488
ban wan 	辦完	c=4 d=6.70126e-46 t=255488
ban wan jia 	辦完家	c=1 d=0 t=255488
ban xia 	辦下	c=1 d=1.02431e-106 t=255488
ban ye 	半夜	c=4 d=2.33748e-245 t=255488
ban yun fei 	辦運費	c=1 d=0 t=255488
ban zheng 	辦證	c=7 d=1.15004e-27 t=255488
ban zhi min di 	半殖民地	c=1 d=3.02787e-63 t=255488
ban zi 	板子	c=7 d=2.34363e-20 t=255488
bang 	幫	c=13 d=1.21676e-14 t=255488
bang 	棒	c=3 d=0.000399619 t=255488
bang 	榜	c=7 d=0.000242979 t=255488
bang 	綁	c=0 d=0 t=255488
bang 	邦	c=1 d=9.09963e-38 t=255488
bang bang 	棒棒	c=12 d=0.000249763 t=255488
bang bang zhu xue 	棒棒助學	c=1 d=5.01772e-270 t=255488
bang bao shi 	幫寶適	c=1 d=0.00050296 t=255488
bang dan 	榜單	c=1 d=0 t=255488
bang di ji na ge 	榜第幾那個	c=1 d=2.38183e-210 t=255488
bang ding 	綁定	c=128 d=0.00186408 t=255488
bang ding ren 	綁定人	c=1 d=1.40239e-243 t=255488
bang ge 	幫個	c=1 d=1.66859e-82 t=255488
bang mang 	幫忙	c=46 d=3.08725e-07 t=255488
bang ni 	幫你	c=5 d=1.15959e-36 t=255488
bang nin 	幫您	c=1 d=4.8387e-225 t=255488
bang sao 	幫掃	c=1 d=7.64289e-15 t=255488
bang wo 	幫我	c=12 d=7.67677e-09 t=255488
bang wo men 	幫我們	c=1 d=1.06931e-53 t=255488
bang xia 	幫下	c=1 d=7.06833e-213 t=255488
bang yan jing 	綁眼睛	c=1 d=0 t=255488
bang zhu 	幫助	c=3 d=1.08848e-12 t=255488
bao 	保	c=19 d=0.731965 t=255488
bao 	包	c=258 d=0.737809 t=255488
bao 	報	c=69 d=0.0459611 t=255488
bao 	寶	c=28 d=0.0256181 t=255488
bao 	抱	c=0 d=1.60239e-48 t=255488
bao an 	保安	c=2 d=2.78401e-222 t=255488
bao an 	報案	c=1 d=0.25924 t=255488
bao bao 	寶寶	c=5 d=3.04367e-37 t=255488
bao bao fu 	寶寶膚	c=3 d=4.25428e-05 t=255488
bao bei 	報備	c=25 d=6.18428e-53 t=255488
bao bei 	寶貝	c=2 d=7.56298e-09 t=255488
bao bian 	包邊	c=1 d=1.17305e-201 t=255488
bao biao 	報表	c=231 d=3.08284e-10 t=255488
bao cai 	包菜	c=1 d=0.00995182 t=255488
bao chi 	保持	c=7 d=1.32512e-47 t=255488
bao chou 	報酬	c=1 d=4.97093e-13 t=255488
bao chu 	報出	c=1 d=7.74496e-24 t=255488
bao chu lai 	抱出來	c=1 d=6.84444e-11 t=255488
bao cun 	保存	c=75 d=0.00396599 t=255488
bao cun ge 	保存個	c=1 d=1.38338e-322 t=255488
bao cun xia 	保存下	c=1 d=5.38311e-09 t=255488
bao cuo 	報錯	c=145 d=0.0753961 t=255488
bao dan 	保單	c=3 d=0.15042 t=255488
bao dao 	報到	c=2 d=1.5279e-96 t=255488
bao dao 	報道	c=7 d=0.000405658 t=255488
bao dao hui 	報道會	c=1 d=0 t=255488
bao dian 	寶典	c=3 d=9.189e-241 t=255488
bao fa hu 	暴發戶	c=2 d=0 t=255488
bao fei 	保費	c=16 d=1.20832 t=255488
bao fei shi suan 	保費試算	c=1 d=0.0614212 t=255488
bao fu 	寶付	c=33 d=8.68652e-20 t=255488
bao gao 	報告	c=40 d=0.965605 t=255488
bao ge 	保哥	c=35 d=3.83889e-320 t=255488
bao gei 	包給	c=1 d=1.83066e-290 t=255488
bao gong tou 	包工頭	c=1 d=1 t=254762
bao guo 	保國	c=1 d=0 t=255488
bao guo 	包裹	c=2 d=3.3603e-287 t=255488
bao han 	包含	c=46 d=1.57698e-06 t=255488
bao han zhe 	包含着	c=1 d=2.02947e-297 t=255488
bao hu 	保護	c=7 d=0.0151463 t=255488
bao jia 	報價	c=6 d=0.882497 t=255488
bao jian hui 	保監會	c=1 d=0 t=255488
bao jie 	保潔	c=2 d=1.32174e-17 t=255488
bao jie 	寶潔	c=4 d=2.89778e-17 t=255488
bao jin qu 	包進去	c=1 d=2.76476e-258 t=255488
bao jing 	報警	c=11 d=0.245387 t=255488
bao jing qi 	報警器	c=3 d=1.97966e-05 t=255488
bao ka 	包卡	c=2 d=1.34379e-54 t=255488
bao kao 	報考	c=6 d=3.08957e-65 t=255488
bao kuo 	包括	c=12 d=1.90204e-05 t=255488
bao lan 	抱攬	c=1 d=2.97782e-14 t=255488
bao lei 	堡壘	c=5 d=6.90608e-277 t=255488
bao lei ji 	堡壘機	c=10 d=1.32651e-30 t=255488
bao li 	保利	c=3 d=0.000982903 t=255488
bao li mian 	包裏面	c=1 d=0 t=255488
bao liu 	保留	c=25 d=0.00119453 t=255488
bao liu zhi 	保留值	c=1 d=2.14239e-287 t=255488
bao liu zi 	保留字	c=1 d=0.00427488 t=255488
bao lu 	暴露	c=10 d=8.90096e-43 t=255488
bao ming 	包名	c=8 d=4.23306e-05 t=255488
bao ming 	報名	c=14 d=3.7162e-20 t=255488
bao mu 	保姆	c=1 d=0.00102814 t=255488
bao nian 	包年	c=3 d=4.1335e-166 t=255488
bao nuan yi 	保暖衣	c=1 d=0 t=255488
bao sha 	報啥	c=1 d=5.02248e-193 t=255488
bao shang 	報上	c=2 d=1.43031e-34 t=255488
bao shi jie 	保時捷	c=1 d=5.3195e-310 t=255488
bao shui 	報稅	c=3 d=2.12088e-54 t=255488
bao song 	報送	c=1 d=1.54229e-09 t=255488
bao tuan 	抱團	c=1 d=2.21953e-262 t=255488
bao wei 	包圍	c=1 d=2.79508e-63 t=255488
bao wen 	報文	c=38 d=0.355846 t=255488
bao wen bei 	保溫杯	c=1 d=0 t=255488
bao xian 	保險	c=62 d=1.03499 t=255488
bao xian dan 	保險單	c=9 d=9.57991e-143 t=255488
bao xian le 	保險了	c=1 d=0.00122477 t=255488
bao xian mo 	保鮮膜	c=1 d=6.51533e-137 t=255488
bao xiao 	報銷	c=53 d=0.00162053 t=255488
bao xiao 	爆笑	c=1 d=0 t=255488
bao xiao dan 	報銷單	c=29 d=1.56955e-68 t=255488
bao xiu 	報修	c=2 d=1.44057e-118 t=255488
bao xiu ka 	保修卡	c=1 d=2.12639e-52 t=255488
bao you 	包郵	c=1 d=6.75172e-27 t=255488
bao yue 	包月	c=3 d=1.50472e-13 t=255488
bao zai fan 	煲仔飯	c=1 d=3.01749e-52 t=255488
bao zha 	爆炸	c=2 d=1.21378e-36 t=255488
bao zhang 	保障	c=8 d=4.4673e-11 t=255488
bao zhang ju 	保障局	c=1 d=2.01821e-26 t=255488
bao zhe 	抱着	c=1 d=2.76711e-268 t=255488
bao zheng 	保證	c=20 d=0.100761 t=255488
bao zheng jin 	保證金	c=2 d=5.6103e-201 t=255488
bao zhi qi 	保質期	c=1 d=1.28859e-218 t=255488
bao zhu 	保住	c=3 d=3.61471e-21 t=255488
bao zhuang 	包裝	c=8 d=0.460704 t=255488
bao zhuang 	報裝	c=0 d=3.64021e-25 t=255488
bao zhuang guang gao 	報裝廣告	c=1 d=3.65846e-24 t=255488
bao zhuang lei 	包裝類	c=1 d=0 t=255488
bao zi 	包子	c=5 d=0.744532 t=255488
bei 	倍	c=1 d=0 t=255488
bei 	備	c=3 d=7.97785e-49 t=255488
bei 	北	c=8 d=7.17922e-14 t=255488
bei 	唄	c=2 d=9.42085e-05 t=255488
bei 	盃	c=5 d=0.0397558 t=255488
bei 	背	c=3 d=1.08683e-09 t=255488
bei 	被	c=134 d=0.826959 t=255488
bei 	貝	c=1 d=0.0597501 t=255488
bei an 	備案	c=37 d=6.70061e-45 t=255488
bei an he 	北安河	c=1 d=1.60463e-34 t=255488
bei ban 	背板	c=1 d=3.8321e-187 t=255488
bei bao 	背包	c=7 d=7.63784e-05 t=255488
bei bei 	貝貝	c=1 d=2.39253e-57 t=255488
bei bie ren 	被別人	c=1 d=6.96022e-120 t=255488
bei bing yang 	北冰洋	c=1 d=1.24862e-24 t=255488
bei bo hui 	被駁回	c=1 d=0 t=255488
bei bu 	北部	c=1 d=1.40797e-84 t=255488
bei chai fen 	被拆分	c=1 d=3.55881e-52 t=255488
bei chong zhu 	被蟲蛀	c=1 d=3.60847e-303 t=255488
bei da 	北大	c=11 d=0.00035443 t=255488
bei dai he 	北戴河	c=3 d=0 t=255488
bei dai li 	被代理	c=1 d=2.33929e-292 t=255488
bei dao 	被盜	c=1 d=9.5904e-244 t=255488
bei dong 	被動	c=1 d=0 t=255488
bei fa 	北伐	c=1 d=9.09498e-32 t=255488
bei fang 	北方	c=1 d=4.40928e-73 t=255488
bei fen 	備份	c=221 d=1.73499e-06 t=255488
bei feng 	被封	c=1 d=2.54645e-114 t=255488
bei gao 	被告	c=1 d=0.000115643 t=255488
bei guan 	北關	c=5 d=2.45369e-22 t=255488
bei guang chang 	北廣場	c=2 d=5.83999e-18 t=255488
bei guo 	背鍋	c=1 d=9.04134e-80 t=255488
bei hai ren 	被害人	c=1 d=0 t=255488
bei hou 	背後	c=2 d=2.46554e-269 t=255488
bei hua yuan 	北花園	c=3 d=8.4467e-15 t=255488
bei jia 	倍加	c=0 d=8.85685e-15 t=255488
bei jia er 	倍加爾	c=1 d=8.90125e-14 t=255488
bei jia er hu 	貝加爾湖	c=1 d=0.0399551 t=255488
bei jin 	被禁	c=0 d=6.43447e-50 t=255488
bei jin shi 	被禁是	c=1 d=6.46672e-49 t=255488
bei jing 	北京	c=281 d=0.528248 t=255488
bei jing 	背景	c=18 d=2.56854e-98 t=255488
bei jing bu xing 	北京不行	c=1 d=3.85865e-321 t=255488
bei jing le 	北京了	c=2 d=7.53944e-321 t=255488
bei jing se 	背景色	c=2 d=3.86873e-05 t=255488
bei jing shi 	北京市	c=18 d=0.67368 t=255488
bei jing tu 	背景圖	c=2 d=1.97626e-323 t=255488
bei jing xi 	北京西	c=1 d=5.6531e-320 t=255488
bei jing zhan 	北京站	c=3 d=0.0102549 t=255488
bei ju 	悲劇	c=3 d=7.27652e-154 t=255488
bei ke 	貝殼	c=6 d=7.58158e-126 t=255488
bei le 	備了	c=1 d=4.4894e-314 t=255488
bei li 	北里	c=8 d=4.01758e-08 t=255488
bei lou 	背簍	c=5 d=1.29597e-254 t=255488
bei lu 	北路	c=2 d=0.000575656 t=255488
bei mai 	被賣	c=1 d=4.87021e-125 t=255488
bei mei 	北美	c=1 d=2.42242e-56 t=255488
bei mian 	背面	c=5 d=0.0167392 t=255488
bei ni 	被你	c=1 d=5.89718e-317 t=255488
bei ou 	北歐	c=1 d=1.78169e-177 t=255488
bei pian 	被騙	c=1 d=1.53995e-285 t=255488
bei piao 	北漂	c=1 d=1.69069e-31 t=255488
bei po 	被迫	c=2 d=0.213312 t=255488
bei qiao 	北橋	c=3 d=5.21957e-266 t=255488
bei qin 	貝親	c=1 d=0.000510561 t=255488
bei ren 	被人	c=2 d=6.49009e-62 t=255488
bei sao 	被掃	c=1 d=2.91897e-132 t=255488
bei shang 	北上	c=0 d=1.82336e-09 t=255488
bei shang guang 	北上廣	c=2 d=1.8325e-08 t=255488
bei shu 	倍數	c=1 d=1 t=252348
bei si 	貝斯	c=1 d=0 t=255488
bei song 	北宋	c=1 d=3.80589e-312 t=255488
bei song 	背誦	c=1 d=2.52909e-63 t=255488
bei suo 	被鎖	c=1 d=1.1238e-314 t=255488
bei ta 	被他	c=1 d=2.63261e-270 t=255488
bei tai 	備胎	c=1 d=0 t=255488
bei tiao 	被條	c=1 d=4.74385e-198 t=255488
bei wai 	北外	c=3 d=1.8649e-214 t=255488
bei wo 	被我	c=1 d=9.0735e-298 t=255488
bei wo 	被窩	c=1 d=1.63295e-269 t=255488
bei xian zhi 	被限制	c=1 d=1.70777e-296 t=255488
bei ya 	背壓	c=2 d=1.32331e-269 t=255488
bei yong 	備用	c=5 d=3.54833e-223 t=255488
bei yong xia 	備用下	c=1 d=3.199e-239 t=255488
bei yuan 	北苑	c=1 d=0 t=255488
bei yun he 	北運河	c=1 d=5.2828e-23 t=255488
bei zhan yong 	被佔用	c=1 d=4.77652e-73 t=255488
bei zhi xing 	被執行	c=1 d=0.0159229 t=255488
bei zhou 	北周	c=1 d=0.2334 t=255488
